player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
A. Poulsen,Silkeborg,"Randers - Silkeborg, 0 - 2",7,2,10,70.0,20.0
A. Poulsen,Silkeborg,"Silkeborg - Midtjylland, 1 - 3",3,1,5,60.0,20.0
A. Poulsen,Silkeborg,"Silkeborg - Nordsjælland, 4 - 1",5,1,8,62.5,12.5
A. Poulsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",2,0,4,50.0,0.0
A. Poulsen,Silkeborg,"Silkeborg - Viborg, 3 - 2",3,0,5,60.0,0.0
A. Poulsen,Silkeborg,"Vejle - Silkeborg, 1 - 3",5,1,8,62.5,12.5
A. Pyndt,Silkeborg,"Randers - Silkeborg, 0 - 2",5,0,8,62.5,0.0
A. Pyndt,Silkeborg,"Silkeborg - Viborg, 3 - 2",5,1,6,83.33333333333334,16.666666666666664
A. Rømer,Midtjylland,"AGF - Midtjylland, 1 - 1",1,0,4,25.0,0.0
A. Rømer,Midtjylland,"Midtjylland - Vejle, 2 - 0",4,1,5,80.0,20.0
A. Rømer,Randers,"Brøndby - Randers, 2 - 2",5,2,9,55.55555555555556,22.22222222222222
A. Rømer,Randers,"Nordsjælland - Randers, 1 - 1",2,2,3,66.66666666666666,66.66666666666666
A. Rømer,Randers,"Randers - AaB, 1 - 0",3,0,6,50.0,0.0
A. Simmelhack,Silkeborg,"Silkeborg - Midtjylland, 1 - 3",True,True,1,100.0,100.0
A. Simmelhack,Silkeborg,"Vejle - Silkeborg, 1 - 3",False,False,1,0.0,0.0
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",1,1,4,25.0,25.0
A. Şimşir,Midtjylland,"Lyngby - Midtjylland, 1 - 2",0,0,2,0.0,0.0
A. Şimşir,Midtjylland,"Midtjylland - AaB, 2 - 0",False,True,1,0.0,100.0
A. Şimşir,Midtjylland,"Midtjylland - København, 2 - 1",2,1,2,100.0,50.0
A. Şimşir,Midtjylland,"Midtjylland - SønderjyskE, 3 - 2",2,0,3,66.66666666666666,0.0
A. Şimşir,Midtjylland,"Midtjylland - Vejle, 2 - 0",True,False,1,100.0,0.0
A. Şimşir,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",3,0,4,75.0,0.0
B. Hamalainen,Lyngby,"AaB - Lyngby, 2 - 1",3,1,4,75.0,25.0
B. Hamalainen,Lyngby,"Lyngby - Brøndby, 0 - 2",1,0,2,50.0,0.0
B. Hamalainen,Lyngby,"Lyngby - København, 0 - 2",True,True,1,100.0,100.0
B. Hamalainen,Lyngby,"Lyngby - Midtjylland, 1 - 2",4,1,5,80.0,20.0
B. Hamalainen,Lyngby,"Nordsjælland - Lyngby, 1 - 1",1,0,5,20.0,0.0
B. Hamalainen,Lyngby,"Viborg - Lyngby, 1 - 0",3,0,3,100.0,0.0
B. Kopplin,Randers,"Randers - AaB, 1 - 0",False,False,1,0.0,0.0
B. Kopplin,Randers,"Vejle - Randers, 2 - 3",2,1,2,100.0,50.0
B. Meling,København,"København - AGF, 3 - 2",3,1,7,42.857142857142854,14.285714285714285
B. Meling,København,"København - Randers, 1 - 1",6,2,7,85.71428571428571,28.57142857142857
B. Meling,København,"København - Viborg, 1 - 1",5,2,6,83.33333333333334,33.33333333333333
