player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
A. Arouna,Horsens U19,"Brøndby U19 - Horsens U19, 2 - 3",7,0,8,87.5,0.0
A. Arouna,Horsens U19,"Horsens U19 - AGF U19, 1 - 1 (P)",2,1,2,100.0,50.0
A. Arouna,Horsens U19,"Horsens U19 - Esbjerg U19, 2 - 0",1,0,3,33.33333333333333,0.0
A. Arouna,Horsens U19,"Horsens U19 - Midtjylland U19, 0 - 2",3,1,3,100.0,33.33333333333333
A. Arouna,Horsens U19,"Nordsjælland U19 - Horsens U19, 3 - 0",True,False,1,100.0,0.0
A. Arouna,Horsens U19,"Randers U19 - Horsens U19, 2 - 1",True,False,1,100.0,0.0
A. Aslani,Lyngby U19,"Lyngby U19 - Esbjerg U19, 1 - 1 (P)",8,2,9,88.88888888888889,22.22222222222222
A. Aslani,Lyngby U19,"Lyngby U19 - SønderjyskE U19, 4 - 3",3,1,4,75.0,25.0
A. Aslani,Lyngby U19,"Lyngby U19 - Vejle U19, 0 - 1",4,3,4,100.0,75.0
A. Aslani,Lyngby U19,"Midtjylland U19 - Lyngby U19, 11 - 1",3,1,8,37.5,12.5
A. Aslani,Lyngby U19,"OB U19 - Lyngby U19, 2 - 0",5,2,8,62.5,25.0
A. Aslani,Lyngby U19,"Randers U19 - Lyngby U19, 0 - 2",4,4,5,80.0,80.0
A. Bergholdt,SønderjyskE U19,"SønderjyskE U19 - København U19, 2 - 0",6,4,14,42.857142857142854,28.57142857142857
A. Bergholdt,SønderjyskE U19,"SønderjyskE U19 - OB U19, 1 - 3",4,1,6,66.66666666666666,16.666666666666664
A. Bergholdt,SønderjyskE U19,"SønderjyskE U19 - Vejle U19, 2 - 3",5,1,8,62.5,12.5
A. Cehobasic,Esbjerg U19,"Esbjerg U19 - AGF U19, 1 - 2",False,False,1,0.0,0.0
A. Cehobasic,Esbjerg U19,"Esbjerg U19 - Nordsjælland U19, 0 - 5",1,0,2,50.0,0.0
A. Cehobasic,Esbjerg U19,"Horsens U19 - Esbjerg U19, 2 - 0",2,1,2,100.0,50.0
A. Cehobasic,Esbjerg U19,"OB U19 - Esbjerg U19, 3 - 1",1,0,3,33.33333333333333,0.0
A. Chiakha,København U19,"AGF U19 - København U19, 0 - 3",2,1,2,100.0,50.0
A. Chiakha,København U19,"AaB U19 - København U19, 2 - 1",8,2,12,66.66666666666666,16.666666666666664
A. Chiakha,København U19,"København U19 - Esbjerg U19, 9 - 1",1,1,4,25.0,25.0
A. Chiakha,København U19,"København U19 - OB U19, 4 - 0",3,1,5,60.0,20.0
A. Claridge,Brøndby U19,"AGF U19 - Brøndby U19, 5 - 1",5,2,9,55.55555555555556,22.22222222222222
A. Claridge,Brøndby U19,"Brøndby U19 - Horsens U19, 2 - 3",4,1,8,50.0,12.5
A. Claridge,Brøndby U19,"Brøndby U19 - Midtjylland U19, 4 - 0",4,2,9,44.44444444444444,22.22222222222222
A. Claridge,Brøndby U19,"Brøndby U19 - OB U19, 2 - 4",5,2,7,71.42857142857143,28.57142857142857
A. Claridge,Brøndby U19,"Brøndby U19 - Silkeborg U19, 2 - 3",5,1,7,71.42857142857143,14.285714285714285
A. Claridge,Brøndby U19,"Brøndby U19 - SønderjyskE U19, 5 - 2",True,False,1,100.0,0.0
A. Claridge,Brøndby U19,"Vejle U19 - Brøndby U19, 1 - 1",True,False,1,100.0,0.0
A. Dahche,Vejle U19,"Lyngby U19 - Vejle U19, 0 - 1",6,1,9,66.66666666666666,11.11111111111111
A. Dahche,Vejle U19,"SønderjyskE U19 - Vejle U19, 2 - 3",4,2,5,80.0,40.0
