label,team.name,date,PPDA
"AGF - Midtjylland, 1 - 1",AGF,"July 19, 2024 at 6:00:00 PM GMT+2",6.607142857142857
"AGF - Midtjylland, 1 - 1",Midtjylland,"July 19, 2024 at 6:00:00 PM GMT+2",12.058823529411764
"AGF - Nordsjælland, 4 - 2",AGF,"August 31, 2024 at 4:00:00 PM GMT+2",12.454545454545455
"AGF - Nordsjælland, 4 - 2",Nordsjælland,"August 31, 2024 at 4:00:00 PM GMT+2",11.210526315789474
"AGF - Silkeborg, 1 - 1",AGF,"September 15, 2024 at 2:00:00 PM GMT+2",8.833333333333334
"AGF - Silkeborg, 1 - 1",Silkeborg,"September 15, 2024 at 2:00:00 PM GMT+2",41.4
"AGF - SønderjyskE, 4 - 0",AGF,"August 2, 2024 at 7:00:00 PM GMT+2",9.05
"AGF - SønderjyskE, 4 - 0",SønderjyskE,"August 2, 2024 at 7:00:00 PM GMT+2",10.0
"AGF - Vejle, 5 - 1",AGF,"August 19, 2024 at 7:00:00 PM GMT+2",8.1875
"AGF - Vejle, 5 - 1",Vejle,"August 19, 2024 at 7:00:00 PM GMT+2",16.3
"AaB - AGF, 0 - 4",AGF,"August 23, 2024 at 7:00:00 PM GMT+2",9.266666666666667
"AaB - AGF, 0 - 4",AaB,"August 23, 2024 at 7:00:00 PM GMT+2",9.181818181818182
"AaB - Brøndby, 0 - 4",AaB,"August 18, 2024 at 6:00:00 PM GMT+2",58.857142857142854
"AaB - Brøndby, 0 - 4",Brøndby,"August 18, 2024 at 6:00:00 PM GMT+2",7.5
"AaB - Lyngby, 2 - 1",AaB,"September 13, 2024 at 7:00:00 PM GMT+2",9.565217391304348
"AaB - Lyngby, 2 - 1",Lyngby,"September 13, 2024 at 7:00:00 PM GMT+2",12.625
"AaB - Silkeborg, 2 - 1",AaB,"July 28, 2024 at 4:00:00 PM GMT+2",13.4375
"AaB - Silkeborg, 2 - 1",Silkeborg,"July 28, 2024 at 4:00:00 PM GMT+2",13.533333333333333
"Brøndby - AGF, 0 - 1",AGF,"August 11, 2024 at 4:00:00 PM GMT+2",28.636363636363637
"Brøndby - AGF, 0 - 1",Brøndby,"August 11, 2024 at 4:00:00 PM GMT+2",12.588235294117647
"Brøndby - Randers, 2 - 2",Brøndby,"August 25, 2024 at 6:00:00 PM GMT+2",5.133333333333334
"Brøndby - Randers, 2 - 2",Randers,"August 25, 2024 at 6:00:00 PM GMT+2",40.30769230769231
"Brøndby - SønderjyskE, 2 - 0",Brøndby,"September 15, 2024 at 6:00:00 PM GMT+2",12.894736842105264
"Brøndby - SønderjyskE, 2 - 0",SønderjyskE,"September 15, 2024 at 6:00:00 PM GMT+2",17.444444444444443
"Brøndby - Vejle, 2 - 1",Brøndby,"July 29, 2024 at 7:00:00 PM GMT+2",21.083333333333332
"Brøndby - Vejle, 2 - 1",Vejle,"July 29, 2024 at 7:00:00 PM GMT+2",10.1
"København - AGF, 3 - 2",AGF,"July 28, 2024 at 6:00:00 PM GMT+2",55.2
"København - AGF, 3 - 2",København,"July 28, 2024 at 6:00:00 PM GMT+2",20.333333333333332
"København - Brøndby, 3 - 1",Brøndby,"September 1, 2024 at 2:00:00 PM GMT+2",7.461538461538462
"København - Brøndby, 3 - 1",København,"September 1, 2024 at 2:00:00 PM GMT+2",34.714285714285715
"København - Randers, 1 - 1",København,"August 4, 2024 at 4:00:00 PM GMT+2",5.55
"København - Randers, 1 - 1",Randers,"August 4, 2024 at 4:00:00 PM GMT+2",37.92307692307692
"København - Viborg, 1 - 1",København,"August 18, 2024 at 4:00:00 PM GMT+2",11.9375
"København - Viborg, 1 - 1",Viborg,"August 18, 2024 at 4:00:00 PM GMT+2",56.142857142857146
"Lyngby - Brøndby, 0 - 2",Brøndby,"August 4, 2024 at 6:00:00 PM GMT+2",12.714285714285714
"Lyngby - Brøndby, 0 - 2",Lyngby,"August 4, 2024 at 6:00:00 PM GMT+2",12.7
"Lyngby - København, 0 - 2",København,"July 22, 2024 at 7:00:00 PM GMT+2",12.4
"Lyngby - København, 0 - 2",Lyngby,"July 22, 2024 at 7:00:00 PM GMT+2",12.375
"Lyngby - Midtjylland, 1 - 2",Lyngby,"August 16, 2024 at 7:00:00 PM GMT+2",24.0
"Lyngby - Midtjylland, 1 - 2",Midtjylland,"August 16, 2024 at 7:00:00 PM GMT+2",7.894736842105263
"Lyngby - Vejle, 1 - 0",Lyngby,"August 30, 2024 at 7:00:00 PM GMT+2",17.72222222222222
"Lyngby - Vejle, 1 - 0",Vejle,"August 30, 2024 at 7:00:00 PM GMT+2",5.8
"Midtjylland - AaB, 2 - 0",AaB,"August 3, 2024 at 4:00:00 PM GMT+2",13.9375
"Midtjylland - AaB, 2 - 0",Midtjylland,"August 3, 2024 at 4:00:00 PM GMT+2",16.384615384615383
