team.name,minute,label,date,location.x,location.y,territorial_possession
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",50.0,50.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",31.0,53.0,AaB U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",65.0,11.0,Middle
Randers U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",31.0,64.0,Randers U19
Randers U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",30.0,81.0,Randers U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",70.0,19.0,Randers U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",63.0,27.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",55.0,29.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",56.0,19.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",34.0,30.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",35.0,44.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",35.0,29.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",24.0,55.0,AaB U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",11.0,54.0,AaB U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",15.0,11.0,AaB U19
Randers U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",52.0,66.0,Middle
Randers U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",58.0,66.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",42.0,34.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",45.0,32.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",61.0,15.0,Middle
Randers U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",39.0,85.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",47.0,6.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",30.0,21.0,AaB U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",40.0,8.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",34.0,30.0,Middle
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",32.0,60.0,AaB U19
AaB U19,0,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",37.0,0.0,Middle
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",71.0,100.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",18.0,26.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",14.0,25.0,AaB U19
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",82.0,74.0,AaB U19
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",86.0,75.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",4.0,27.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",11.0,0.0,AaB U19
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",85.0,100.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",14.0,33.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",22.0,43.0,AaB U19
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",68.0,51.0,AaB U19
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",71.0,47.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",7.0,76.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",13.0,93.0,AaB U19
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",40.0,84.0,Middle
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",50.0,90.0,Middle
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",43.0,93.0,Middle
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",57.0,7.0,Middle
AaB U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",49.0,94.0,Middle
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",51.0,6.0,Middle
Randers U19,1,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",53.0,9.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",42.0,89.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",38.0,65.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",46.0,62.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",42.0,78.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",33.0,58.0,AaB U19
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",35.0,33.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",45.0,9.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",68.0,40.0,Randers U19
Randers U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",6.0,50.0,Randers U19
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",20.0,68.0,AaB U19
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",31.0,61.0,AaB U19
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",36.0,76.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",53.0,90.0,Middle
Randers U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",47.0,10.0,Middle
AaB U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",53.0,95.0,Middle
Randers U19,2,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",47.0,5.0,Middle
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",54.0,100.0,Middle
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",52.0,100.0,Middle
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",32.0,64.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",38.0,27.0,Middle
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",25.0,53.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",32.0,42.0,AaB U19
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",56.0,66.0,Middle
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",67.0,67.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",14.0,100.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",18.0,100.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",40.0,93.0,Middle
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",60.0,7.0,Middle
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",66.0,3.0,Middle
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",68.0,7.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",31.0,96.0,AaB U19
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",63.0,6.0,Middle
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",29.0,91.0,AaB U19
AaB U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",40.0,100.0,Middle
Randers U19,3,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",58.0,0.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",46.0,42.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",51.0,21.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",33.0,53.0,Randers U19
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",30.0,33.0,Randers U19
AaB U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",59.0,73.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",41.0,27.0,Middle
AaB U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",59.0,74.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",36.0,13.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",40.0,4.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",34.0,10.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",42.0,35.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",37.0,62.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",46.0,61.0,Middle
AaB U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",7.0,53.0,AaB U19
AaB U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",10.0,7.0,AaB U19
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",69.0,76.0,AaB U19
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",67.0,56.0,AaB U19
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",69.0,88.0,AaB U19
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",54.0,72.0,Middle
Randers U19,4,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",60.0,63.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",81.0,95.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",72.0,84.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",61.0,79.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",78.0,75.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",83.0,93.0,AaB U19
AaB U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",17.0,7.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",90.0,92.0,AaB U19
AaB U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",9.0,54.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",91.0,46.0,AaB U19
AaB U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",9.0,57.0,AaB U19
AaB U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",33.0,56.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",67.0,44.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",58.0,66.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",68.0,81.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",67.0,67.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",84.0,7.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",68.0,10.0,AaB U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",38.0,24.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",27.0,39.0,Randers U19
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",64.0,5.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",58.0,13.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",65.0,7.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",38.0,12.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",52.0,18.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",44.0,20.0,Middle
Randers U19,5,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",36.0,17.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",17.0,42.0,Randers U19
AaB U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",41.0,76.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",44.0,12.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",44.0,29.0,Middle
AaB U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",45.0,11.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",55.0,89.0,Middle
AaB U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",44.0,12.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",53.0,82.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",46.0,76.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",52.0,78.0,Middle
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",71.0,46.0,AaB U19
Randers U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",64.0,39.0,Middle
AaB U19,6,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",31.0,100.0,AaB U19
AaB U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",23.0,100.0,AaB U19
AaB U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",42.0,92.0,Middle
AaB U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",33.0,82.0,AaB U19
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",67.0,18.0,AaB U19
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",73.0,16.0,AaB U19
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",71.0,32.0,AaB U19
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",64.0,36.0,Middle
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",54.0,44.0,Middle
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",61.0,8.0,Middle
Randers U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",72.0,2.0,AaB U19
AaB U19,7,"AaB U19 - Randers U19, 0 - 3","August 24, 2024 at 1:00:00 PM GMT+2",25.0,96.0,AaB U19
