label,team.name,date,PPDA
"Lyngby U19 - SønderjyskE U19, 4 - 3",Lyngby U19,"September 21, 2024 at 1:00:00 PM GMT+2",7.888888888888889
"Lyngby U19 - SønderjyskE U19, 4 - 3",SønderjyskE U19,"September 21, 2024 at 1:00:00 PM GMT+2",23.0
"Lyngby U19 - Vejle U19, 0 - 1",Lyngby U19,"September 14, 2024 at 1:00:00 PM GMT+2",12.357142857142858
"Lyngby U19 - Vejle U19, 0 - 1",Vejle U19,"September 14, 2024 at 1:00:00 PM GMT+2",9.033333333333333
"Midtjylland U19 - Lyngby U19, 11 - 1",Lyngby U19,"October 5, 2024 at 1:00:00 PM GMT+2",23.0
"Midtjylland U19 - Lyngby U19, 11 - 1",Midtjylland U19,"October 5, 2024 at 1:00:00 PM GMT+2",6.821428571428571
"Midtjylland U19 - Randers U19, 1 - 2",Midtjylland U19,"September 21, 2024 at 1:00:00 PM GMT+2",5.173913043478261
"Midtjylland U19 - Randers U19, 1 - 2",Randers U19,"September 21, 2024 at 1:00:00 PM GMT+2",43.666666666666664
"Midtjylland U19 - Silkeborg U19, 2 - 3",Midtjylland U19,"August 31, 2024 at 1:00:00 PM GMT+2",8.941176470588236
"Midtjylland U19 - Silkeborg U19, 2 - 3",Silkeborg U19,"August 31, 2024 at 1:00:00 PM GMT+2",75.6
"Nordsjælland U19 - AaB U19, 2 - 0",AaB U19,"August 17, 2024 at 1:00:00 PM GMT+2",37.57142857142857
"Nordsjælland U19 - AaB U19, 2 - 0",Nordsjælland U19,"August 17, 2024 at 1:00:00 PM GMT+2",3.90625
"Nordsjælland U19 - Brøndby U19, 1 - 0",Brøndby U19,"October 19, 2024 at 1:00:00 PM GMT+2",16.434782608695652
"Nordsjælland U19 - Brøndby U19, 1 - 0",Nordsjælland U19,"October 19, 2024 at 1:00:00 PM GMT+2",7.32
"Nordsjælland U19 - Horsens U19, 3 - 0",Horsens U19,"September 14, 2024 at 1:30:00 PM GMT+2",46.625
"Nordsjælland U19 - Horsens U19, 3 - 0",Nordsjælland U19,"September 14, 2024 at 1:30:00 PM GMT+2",7.0
"Nordsjælland U19 - Silkeborg U19, 3 - 0",Nordsjælland U19,"September 28, 2024 at 1:30:00 PM GMT+2",8.758620689655173
"Nordsjælland U19 - Silkeborg U19, 3 - 0",Silkeborg U19,"September 28, 2024 at 1:30:00 PM GMT+2",44.0
"OB U19 - Esbjerg U19, 3 - 1",Esbjerg U19,"September 14, 2024 at 12:30:00 PM GMT+2",17.58823529411765
"OB U19 - Esbjerg U19, 3 - 1",OB U19,"September 14, 2024 at 12:30:00 PM GMT+2",19.8
"OB U19 - Lyngby U19, 2 - 0",Lyngby U19,"September 28, 2024 at 12:30:00 PM GMT+2",11.4
"OB U19 - Lyngby U19, 2 - 0",OB U19,"September 28, 2024 at 12:30:00 PM GMT+2",11.157894736842104
"OB U19 - Midtjylland U19, 3 - 4",Midtjylland U19,"October 18, 2024 at 12:30:00 PM GMT+2",6.40625
"OB U19 - Midtjylland U19, 3 - 4",OB U19,"October 18, 2024 at 12:30:00 PM GMT+2",22.076923076923077
"OB U19 - Vejle U19, 4 - 0",OB U19,"August 17, 2024 at 12:30:00 PM GMT+2",8.478260869565217
"OB U19 - Vejle U19, 4 - 0",Vejle U19,"August 17, 2024 at 12:30:00 PM GMT+2",22.714285714285715
"Randers U19 - Horsens U19, 2 - 1",Horsens U19,"October 5, 2024 at 1:00:00 PM GMT+2",8.368421052631579
"Randers U19 - Horsens U19, 2 - 1",Randers U19,"October 5, 2024 at 1:00:00 PM GMT+2",22.083333333333332
"Randers U19 - København U19, 1 - 1",København U19,"October 23, 2024 at 3:00:00 PM GMT+2",8.0
"Randers U19 - København U19, 1 - 1",Randers U19,"October 23, 2024 at 3:00:00 PM GMT+2",29.764705882352942
"Randers U19 - Lyngby U19, 0 - 2",Lyngby U19,"August 31, 2024 at 1:00:00 PM GMT+2",25.53846153846154
"Randers U19 - Lyngby U19, 0 - 2",Randers U19,"August 31, 2024 at 1:00:00 PM GMT+2",6.071428571428571
"Randers U19 - OB U19, 1 - 5",OB U19,"October 26, 2024 at 1:00:00 PM GMT+2",29.363636363636363
"Randers U19 - OB U19, 1 - 5",Randers U19,"October 26, 2024 at 1:00:00 PM GMT+2",16.0625
"Randers U19 - SønderjyskE U19, 0 - 2",Randers U19,"August 17, 2024 at 1:00:00 PM GMT+2",19.083333333333332
"Randers U19 - SønderjyskE U19, 0 - 2",SønderjyskE U19,"August 17, 2024 at 1:00:00 PM GMT+2",13.181818181818182
"Silkeborg U19 - AGF U19, 0 - 1",AGF U19,"October 5, 2024 at 1:00:00 PM GMT+2",35.1
"Silkeborg U19 - AGF U19, 0 - 1",Silkeborg U19,"October 5, 2024 at 1:00:00 PM GMT+2",12.294117647058824
"Silkeborg U19 - AaB U19, 2 - 2 (P)",AaB U19,"September 21, 2024 at 1:00:00 PM GMT+2",17.789473684210527
"Silkeborg U19 - AaB U19, 2 - 2 (P)",Silkeborg U19,"September 21, 2024 at 1:00:00 PM GMT+2",10.2
"Silkeborg U19 - Horsens U19, 1 - 1 (P)",Horsens U19,"August 24, 2024 at 1:00:00 PM GMT+2",16.45
"Silkeborg U19 - Horsens U19, 1 - 1 (P)",Silkeborg U19,"August 24, 2024 at 1:00:00 PM GMT+2",15.5
"Silkeborg U19 - Randers U19, 2 - 0",Randers U19,"September 14, 2024 at 1:00:00 PM GMT+2",27.333333333333332
"Silkeborg U19 - Randers U19, 2 - 0",Silkeborg U19,"September 14, 2024 at 1:00:00 PM GMT+2",19.333333333333332
"SønderjyskE U19 - AaB U19, 0 - 2",AaB U19,"October 19, 2024 at 12:30:00 PM GMT+2",8.789473684210526
"SønderjyskE U19 - AaB U19, 0 - 2",SønderjyskE U19,"October 19, 2024 at 12:30:00 PM GMT+2",9.25
"SønderjyskE U19 - København U19, 2 - 0",København U19,"September 14, 2024 at 12:30:00 PM GMT+2",4.9411764705882355
"SønderjyskE U19 - København U19, 2 - 0",SønderjyskE U19,"September 14, 2024 at 12:30:00 PM GMT+2",22.0
"SønderjyskE U19 - OB U19, 1 - 3",OB U19,"August 24, 2024 at 12:30:00 PM GMT+2",9.166666666666666
"SønderjyskE U19 - OB U19, 1 - 3",SønderjyskE U19,"August 24, 2024 at 12:30:00 PM GMT+2",12.16
"SønderjyskE U19 - Vejle U19, 2 - 3",SønderjyskE U19,"September 28, 2024 at 12:30:00 PM GMT+2",23.083333333333332
"SønderjyskE U19 - Vejle U19, 2 - 3",Vejle U19,"September 28, 2024 at 12:30:00 PM GMT+2",7.2
"Vejle U19 - AaB U19, 1 - 1",AaB U19,"August 31, 2024 at 12:30:00 PM GMT+2",22.916666666666668
"Vejle U19 - AaB U19, 1 - 1",Vejle U19,"August 31, 2024 at 12:30:00 PM GMT+2",11.25
"Vejle U19 - Brøndby U19, 1 - 1",Brøndby U19,"August 24, 2024 at 12:30:00 PM GMT+2",6.52
"Vejle U19 - Brøndby U19, 1 - 1",Vejle U19,"August 24, 2024 at 12:30:00 PM GMT+2",43.625
"Vejle U19 - København U19, 2 - 3",København U19,"October 26, 2024 at 12:30:00 PM GMT+2",17.785714285714285
"Vejle U19 - København U19, 2 - 3",Vejle U19,"October 26, 2024 at 12:30:00 PM GMT+2",33.0
