player.name,team.name,label,date,location.x,location.y,minute,shot.xg
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",95.0,57.0,6,0.2076
T. Bech,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",92.0,47.0,7,0.4119
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",87.0,25.0,12,0.03571
O. Sørensen,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",82.0,32.0,29,0.03313
F. Tingager,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",91.0,65.0,29,0.1008
P. Mortensen,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",93.0,61.0,31,0.1993
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",88.0,52.0,36,0.1245
P. Mortensen,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",90.0,50.0,40,0.76
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",88.0,42.0,41,0.05758
O. Brynhildsen,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",79.0,50.0,43,0.06581
Franculino Djú,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",88.0,33.0,46,0.08796
T. Bech,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",90.0,41.0,48,0.09133
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",94.0,53.0,46,0.1468
T. Bech,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",78.0,73.0,50,0.0006122
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",88.0,62.0,52,0.1345
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",75.0,79.0,56,0.002953
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",81.0,59.0,57,0.09378
T. Bech,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",79.0,65.0,62,0.02229
T. Bech,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",88.0,59.0,64,0.05793
K. Askildsen,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",89.0,64.0,74,0.1519
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",89.0,67.0,80,0.1163
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",86.0,46.0,84,0.1533
D. Osorio,Midtjylland,"AGF - Midtjylland, 1 - 1","July 19, 2024 at 6:00:00 PM GMT+2",76.0,46.0,97,0.01547
M. Ingvartsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",87.0,48.0,6,0.1478
O. Antman,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",91.0,42.0,11,0.1737
M. Ingvartsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",89.0,54.0,17,0.1489
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",94.0,39.0,18,0.2016
P. Ankersen,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",96.0,58.0,18,0.4686
P. Ankersen,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",86.0,56.0,22,0.1303
J. Iredale,AaB,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",80.0,59.0,23,0.09264
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",69.0,20.0,28,0.02804
N. Arnórsson,AaB,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",85.0,29.0,34,0.004143
C. Harder,Nordsjælland,"Nordsjælland - AaB, 3 - 0","July 19, 2024 at 8:00:00 PM GMT+2",90.0,42.0,35,0.1318
