id,player.name,matchId,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263460357,E. Omerovic,5605871,679266,Esbjerg U19,5605871,O. Haugstrup,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,43,,,,,pass,"['forward_pass', 'long_pass', 'loss', 'progressive_pass']",8.0,76.0,39.0,47.0,,,,"['attack', 'transition_medium']",8.0,5.0,36.0,34.0,73.0,63.0,AGF U19,0.0
2263459892,O. Haugstrup,5605871,765207,AGF U19,5605871,R. Düring,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,45,,,,,interception,"['head_pass', 'pass', 'recovery', 'short_or_medium_pass']",61.0,53.0,62.0,68.0,,,,"['attack', 'transition_medium']",8.0,6.0,36.0,34.0,73.0,63.0,AGF U19,0.0
2263459893,R. Düring,5605871,696293,AGF U19,5605871,R. Zwinge,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,47,,,,,pass,"['forward_pass', 'loss', 'pass_to_final_third', 'short_or_medium_pass']",62.0,68.0,73.0,63.0,,,,"['attack', 'transition_medium']",8.0,7.0,36.0,34.0,73.0,63.0,AGF U19,0.0
2263460358,R. Zwinge,5605871,766588,Esbjerg U19,5605871,K. Pedersen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,49,,,,,pass,"['forward_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",27.0,37.0,44.0,56.0,,,,[],4.0,0.0,27.0,37.0,43.0,58.0,Esbjerg U19,
2263459894,S. Schøt,5605871,1098962,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,50,,,,,duel,"['defensive_duel', 'ground_duel']",56.0,44.0,,,,,,[],4.0,1.0,27.0,37.0,43.0,58.0,Esbjerg U19,
2263460360,K. Pedersen,5605871,679276,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,50,,,,,duel,"['foul_suffered', 'ground_duel', 'offensive_duel']",44.0,56.0,,,,,,[],4.0,2.0,27.0,37.0,43.0,58.0,Esbjerg U19,
2263459895,S. Schøt,5605871,1098962,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,51,,,,,infraction,['foul'],57.0,42.0,,,,,,[],4.0,3.0,27.0,37.0,43.0,58.0,Esbjerg U19,
2263460453,P. Nielsen,5605871,679653,Esbjerg U19,5605871,E. Larsen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",8,32,,,,,pass,"['lateral_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",66.0,51.0,64.0,78.0,,,,[],6.0,0.0,66.0,51.0,78.0,0.0,Esbjerg U19,
2263460454,E. Larsen,5605871,766591,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",8,34,,,,,pass,"['back_pass', 'short_or_medium_pass']",64.0,78.0,43.0,68.0,,,,[],6.0,1.0,66.0,51.0,78.0,0.0,Esbjerg U19,
2263460455,E. Omerovic,5605871,679266,Esbjerg U19,5605871,R. Zwinge,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",8,36,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",43.0,68.0,36.0,33.0,,,,[],6.0,2.0,66.0,51.0,78.0,0.0,Esbjerg U19,
2263460456,R. Zwinge,5605871,766588,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",8,39,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",36.0,33.0,40.0,61.0,,,,[],6.0,3.0,66.0,51.0,78.0,0.0,Esbjerg U19,
