PLAYER_WYID,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
0,"Horsens U19 - Brøndby U19, 2 - 1",19,13,6,68.42,31.58
0,"Horsens U19 - Esbjerg U19, 2 - 0",33,25,7,75.76,21.21
0,"Horsens U19 - København U19, 1 - 1 (P)",7,5,1,71.43,14.29
0,"Horsens U19 - Lyngby U19, 1 - 4",2,2,1,100.0,50.0
0,"Horsens U19 - Midtjylland U19, 0 - 2",20,10,6,50.0,30.0
0,"Horsens U19 - OB U19, 0 - 3",26,20,8,76.92,30.77
0,"Horsens U19 - Randers U19, 1 - 0",16,9,5,56.25,31.25
0,"Horsens U19 - Silkeborg U19, 3 - 0",23,14,4,60.87,17.39
0,"Horsens U19 - SønderjyskE U19, 3 - 1",27,22,11,81.48,40.74
0,"Horsens U19 - Vejle U19, 3 - 1",23,19,6,82.61,26.09
0,"København U19 - AGF U19, 1 - 3",25,17,7,68.0,28.0
0,"København U19 - AaB U19, 3 - 4",8,6,1,75.0,12.5
0,"København U19 - Brøndby U19, 2 - 2 (P)",25,17,6,68.0,24.0
0,"København U19 - Esbjerg U19, 9 - 1",21,8,4,38.1,19.05
0,"København U19 - Horsens U19, 5 - 0",21,18,6,85.71,28.57
0,"København U19 - Lyngby U19, 0 - 1",10,7,1,70.0,10.0
0,"København U19 - Midtjylland U19, 0 - 2",4,2,0,50.0,0.0
0,"København U19 - Nordsjælland U19, 2 - 2 (P)",33,19,8,57.58,24.24
0,"København U19 - OB U19, 4 - 0",15,9,3,60.0,20.0
0,"København U19 - Randers U19, 5 - 1",11,5,4,45.45,36.36
0,"København U19 - Silkeborg U19, 2 - 0",41,26,6,63.41,14.63
0,"København U19 - Sønderjyske U19, 3 - 2",15,8,3,53.33,20.0
0,"København U19 - Vejle U19, 2 - 2",40,26,9,65.0,22.5
0,"Lyngby U19 - AGF U19, 0 - 1",18,14,4,77.78,22.22
0,"Lyngby U19 - AaB U19, 1 - 2",8,7,3,87.5,37.5
0,"Lyngby U19 - Brøndby U19, 0 - 2",33,23,10,69.7,30.3
0,"Lyngby U19 - Esbjerg U19, 1 - 1 (P)",22,16,5,72.73,22.73
0,"Lyngby U19 - Horsens U19, 5 - 3",36,19,10,52.78,27.78
0,"Lyngby U19 - København U19, 3 - 3 (P)",29,20,12,68.97,41.38
0,"Lyngby U19 - Midtjylland U19, 0 - 2",24,17,12,70.83,50.0
0,"Lyngby U19 - Nordsjælland U19, 4 - 2",27,16,8,59.26,29.63
0,"Lyngby U19 - OB U19, 1 - 2",31,22,9,70.97,29.03
0,"Lyngby U19 - Randers U19, 2 - 2",34,22,4,64.71,11.76
0,"Lyngby U19 - Silkeborg U19, 2 - 2 (P)",20,11,4,55.0,20.0
0,"Lyngby U19 - SønderjyskE U19, 4 - 3",11,5,1,45.45,9.09
0,"Lyngby U19 - Vejle U19, 0 - 1",23,18,12,78.26,52.17
0,"Midtjylland U19 - AGF U19, 1 - 3",7,4,1,57.14,14.29
0,"Midtjylland U19 - AaB U19, 6 - 1",24,12,3,50.0,12.5
0,"Midtjylland U19 - Brøndby U19, 4 - 2",11,7,5,63.64,45.45
0,"Midtjylland U19 - Esbjerg U19, 4 - 2",5,2,0,40.0,0.0
0,"Midtjylland U19 - Horsens U19, 5 - 0",20,12,8,60.0,40.0
0,"Midtjylland U19 - Lyngby U19, 11 - 1",39,22,6,56.41,15.38
0,"Midtjylland U19 - Nordsjælland U19, 1 - 1 (P)",25,15,4,60.0,16.0
0,"Midtjylland U19 - OB U19, 5 - 2",8,4,1,50.0,12.5
0,"Midtjylland U19 - Randers U19, 1 - 2",19,14,6,73.68,31.58
0,"Midtjylland U19 - Silkeborg U19, 2 - 3",25,16,2,64.0,8.0
0,"Midtjylland U19 - SønderjyskE U19, 5 - 0",36,20,7,55.56,19.44
0,"Midtjylland U19 - Vejle U19, 2 - 1",15,9,0,60.0,0.0
0,"Nordsjælland U19 - AGF U19, 2 - 0",22,14,6,63.64,27.27
0,"Nordsjælland U19 - AaB U19, 2 - 0",15,12,4,80.0,26.67
0,"Nordsjælland U19 - Brøndby U19, 1 - 0",10,4,2,40.0,20.0
0,"Nordsjælland U19 - Esbjerg U19, 3 - 1",4,2,1,50.0,25.0
0,"Nordsjælland U19 - Horsens U19, 3 - 0",29,22,5,75.86,17.24
0,"Nordsjælland U19 - København U19, 4 - 0",23,16,6,69.57,26.09
0,"Nordsjælland U19 - Lyngby U19, 3 - 2",27,15,7,55.56,25.93
0,"Nordsjælland U19 - OB U19, 0 - 0",9,5,3,55.56,33.33
0,"Nordsjælland U19 - Randers U19, 2 - 0",43,23,13,53.49,30.23
0,"Nordsjælland U19 - Silkeborg U19, 3 - 0",13,10,4,76.92,30.77
0,"Nordsjælland U19 - SønderjyskE U19, 3 - 0",6,5,3,83.33,50.0
0,"Nordsjælland U19 - Vejle U19, 3 - 1",17,10,2,58.82,11.76
0,"OB U19 - AaB U19, 4 - 4",26,18,4,69.23,15.38
0,"OB U19 - Brøndby U19, 2 - 0",12,9,6,75.0,50.0
0,"OB U19 - Esbjerg U19, 3 - 1",26,18,9,69.23,34.62
0,"OB U19 - Horsens U19, 2 - 0",13,10,4,76.92,30.77
0,"OB U19 - København U19, 3 - 2",32,22,10,68.75,31.25
0,"OB U19 - Lyngby U19, 2 - 0",30,22,7,73.33,23.33
0,"OB U19 - Nordsjælland U19, 0 - 0 (P)",35,19,6,54.29,17.14
0,"OB U19 - Randers U19, 0 - 0",8,4,3,50.0,37.5
0,"OB U19 - Silkeborg U19, 2 - 0",20,12,5,60.0,25.0
