label,date,team.name,count
"OB U19 - Esbjerg U19, 3 - 1","September 14, 2024 at 12:30:00 PM GMT+2",OB U19,38
"OB U19 - Lyngby U19, 2 - 0","September 28, 2024 at 12:30:00 PM GMT+2",Lyngby U19,30
"OB U19 - Lyngby U19, 2 - 0","September 28, 2024 at 12:30:00 PM GMT+2",OB U19,31
"OB U19 - Vejle U19, 4 - 0","August 17, 2024 at 12:30:00 PM GMT+2",OB U19,43
"OB U19 - Vejle U19, 4 - 0","August 17, 2024 at 12:30:00 PM GMT+2",Vejle U19,18
"Randers U19 - Lyngby U19, 0 - 2","August 31, 2024 at 1:00:00 PM GMT+2",Lyngby U19,13
"Randers U19 - Lyngby U19, 0 - 2","August 31, 2024 at 1:00:00 PM GMT+2",Randers U19,41
"Randers U19 - SønderjyskE U19, 0 - 2","August 17, 2024 at 1:00:00 PM GMT+2",Randers U19,43
"Randers U19 - SønderjyskE U19, 0 - 2","August 17, 2024 at 1:00:00 PM GMT+2",SønderjyskE U19,36
"Silkeborg U19 - AaB U19, 2 - 2 (P)","September 21, 2024 at 1:00:00 PM GMT+2",AaB U19,23
"Silkeborg U19 - AaB U19, 2 - 2 (P)","September 21, 2024 at 1:00:00 PM GMT+2",Silkeborg U19,45
"Silkeborg U19 - Horsens U19, 1 - 1 (P)","August 24, 2024 at 1:00:00 PM GMT+2",Horsens U19,23
"Silkeborg U19 - Horsens U19, 1 - 1 (P)","August 24, 2024 at 1:00:00 PM GMT+2",Silkeborg U19,23
"Silkeborg U19 - Randers U19, 2 - 0","September 14, 2024 at 1:00:00 PM GMT+2",Randers U19,15
"Silkeborg U19 - Randers U19, 2 - 0","September 14, 2024 at 1:00:00 PM GMT+2",Silkeborg U19,52
"SønderjyskE U19 - København U19, 2 - 0","September 14, 2024 at 12:30:00 PM GMT+2",København U19,44
"SønderjyskE U19 - København U19, 2 - 0","September 14, 2024 at 12:30:00 PM GMT+2",SønderjyskE U19,14
"SønderjyskE U19 - OB U19, 1 - 3","August 24, 2024 at 12:30:00 PM GMT+2",OB U19,45
"SønderjyskE U19 - OB U19, 1 - 3","August 24, 2024 at 12:30:00 PM GMT+2",SønderjyskE U19,23
"SønderjyskE U19 - Vejle U19, 2 - 3","September 28, 2024 at 12:30:00 PM GMT+2",SønderjyskE U19,19
"SønderjyskE U19 - Vejle U19, 2 - 3","September 28, 2024 at 12:30:00 PM GMT+2",Vejle U19,54
"Vejle U19 - AaB U19, 1 - 1","August 31, 2024 at 12:30:00 PM GMT+2",AaB U19,28
"Vejle U19 - AaB U19, 1 - 1","August 31, 2024 at 12:30:00 PM GMT+2",Vejle U19,40
"Vejle U19 - Brøndby U19, 1 - 1","August 24, 2024 at 12:30:00 PM GMT+2",Brøndby U19,39
"Vejle U19 - Brøndby U19, 1 - 1","August 24, 2024 at 12:30:00 PM GMT+2",Vejle U19,29
