id,player.name,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263460320,S. Tranbjerg,679279,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,42,,,,,pass,"['back_pass', 'short_or_medium_pass']",61.0,57.0,44.0,52.0,,,,['throw_in'],16.0,12.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460321,E. Omerovic,679266,Esbjerg U19,5605871,R. Zwinge,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,45,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",44.0,52.0,46.0,18.0,,,,['throw_in'],16.0,13.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460322,R. Zwinge,766588,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,46,,,,,touch,['carry'],46.0,18.0,,,55.0,11.0,,['throw_in'],16.0,14.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263460324,R. Zwinge,766588,Esbjerg U19,5605871,C. Storch,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,48,,,,,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third', 'through_pass']",55.0,11.0,79.0,38.0,,,,['throw_in'],16.0,15.0,22.0,0.0,79.0,38.0,Esbjerg U19,
2263459855,C. Storch,769069,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,50,,,,,clearance,['head_pass'],21.0,62.0,,,,,,[],2.0,0.0,21.0,62.0,9.0,100.0,AGF U19,
2263459856,,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",0,54,,,,,game_interruption,['ball_out'],9.0,100.0,,,,,,[],2.0,1.0,21.0,62.0,9.0,100.0,AGF U19,
2263460327,M. Svane,679269,Esbjerg U19,5605871,C. Storch,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,6,,,,,throw_in,['loss'],88.0,0.0,89.0,34.0,,,,"['attack', 'throw_in']",14.0,0.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459857,C. Storch,769069,AGF U19,5605871,W. Rygaard,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,7,,,,,interception,"['forward_pass', 'long_pass', 'pass']",11.0,66.0,35.0,86.0,,,,"['attack', 'throw_in']",14.0,1.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459858,W. Rygaard,850107,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,9,,,,,duel,"['ground_duel', 'loss', 'offensive_duel']",35.0,86.0,,,,,,"['attack', 'throw_in']",14.0,2.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460329,R. Zwinge,766588,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,9,,,,,duel,"['defensive_duel', 'ground_duel', 'recovery', 'counterpressing_recovery']",65.0,14.0,,,,,,"['attack', 'throw_in']",14.0,3.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263461019,B. Baldursson,835759,Esbjerg U19,5605871,S. Tranbjerg,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,11,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",64.0,20.0,53.0,57.0,,,,"['attack', 'throw_in']",14.0,4.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460330,S. Tranbjerg,679279,Esbjerg U19,5605871,K. Pedersen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,14,,,,,pass,"['forward_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass']",53.0,57.0,70.0,80.0,,,,"['attack', 'throw_in']",14.0,5.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459859,A. Skovgaard,813151,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,16,,,,,duel,"['defensive_duel', 'ground_duel']",30.0,20.0,,,,,,"['attack', 'throw_in']",14.0,6.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460331,K. Pedersen,679276,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,16,,,,,duel,"['ground_duel', 'offensive_duel']",70.0,80.0,,,,,,"['attack', 'throw_in']",14.0,7.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460332,K. Pedersen,679276,Esbjerg U19,5605871,M. Kruse,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,17,,,,,pass,"['forward_pass', 'short_or_medium_pass']",68.0,75.0,74.0,76.0,,,,"['attack', 'throw_in']",14.0,8.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460333,M. Kruse,765988,Esbjerg U19,5605871,S. Tranbjerg,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,18,,,,,pass,"['back_pass', 'short_or_medium_pass']",74.0,76.0,67.0,86.0,,,,"['attack', 'throw_in']",14.0,9.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460334,S. Tranbjerg,679279,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,20,,,,,touch,"['progressive_run', 'carry']",67.0,86.0,,,91.0,92.0,,"['attack', 'throw_in']",14.0,10.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459860,A. Skovgaard,813151,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,23,,,,,duel,"['defensive_duel', 'dribbled_past_attempt', 'ground_duel']",18.0,9.0,,,,,,"['attack', 'throw_in']",14.0,11.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263460335,S. Tranbjerg,679279,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,23,,,,,duel,"['dribble', 'ground_duel', 'offensive_duel']",82.0,91.0,,,,,,"['attack', 'throw_in']",14.0,12.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459861,A. Skovgaard,813151,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,26,,,,,duel,"['defensive_duel', 'ground_duel', 'recovery', 'sliding_tackle']",9.0,8.0,,,,,,[],2.0,0.0,9.0,8.0,19.0,34.0,AGF U19,
2263460336,S. Tranbjerg,679279,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,26,,,,,duel,"['ground_duel', 'loss', 'offensive_duel']",91.0,92.0,,,,,,"['attack', 'throw_in']",14.0,13.0,88.0,0.0,91.0,92.0,Esbjerg U19,0.0
2263459862,A. Skovgaard,813151,AGF U19,5605871,B. Baldursson,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,29,,,,,pass,"['lateral_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",6.0,11.0,19.0,34.0,,,,[],2.0,1.0,9.0,8.0,19.0,34.0,AGF U19,
2263461016,B. Baldursson,835759,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,33,,,,,shot,[],81.0,66.0,,,,,0.04544,['attack'],1.0,0.0,81.0,66.0,81.0,66.0,Esbjerg U19,0.0454
2263459863,S. Schøt,1098962,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,33,,,,,interception,"['recovery', 'counterpressing_recovery', 'shot_block']",15.0,31.0,,,,,,[],4.0,0.0,15.0,31.0,100.0,100.0,AGF U19,
2263459864,C. Storch,769069,AGF U19,5605871,V. De Paoli,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,34,,,,,pass,"['back_pass', 'short_or_medium_pass']",8.0,47.0,3.0,47.0,,,,[],4.0,1.0,15.0,31.0,100.0,100.0,AGF U19,
2263459865,V. De Paoli,752651,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,36,,,,,touch,[],3.0,47.0,,,,,,[],4.0,2.0,15.0,31.0,100.0,100.0,AGF U19,
2263459866,,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",1,41,,,,,game_interruption,['whistle'],,,,,,,,[],4.0,3.0,15.0,31.0,100.0,100.0,AGF U19,
2263459867,V. De Paoli,752651,AGF U19,5605871,S. Schøt,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,11,,,,,pass,"['hand_pass', 'lateral_pass', 'short_or_medium_pass']",14.0,54.0,9.0,37.0,,,,[],16.0,0.0,14.0,54.0,42.0,19.0,AGF U19,
2263459868,S. Schøt,1098962,AGF U19,5605871,G. Efe Egbedi,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,14,,,,,pass,"['forward_pass', 'long_pass', 'progressive_pass']",9.0,37.0,39.0,32.0,,,,[],16.0,1.0,14.0,54.0,42.0,19.0,AGF U19,
2263459869,G. Efe Egbedi,1098968,AGF U19,5605871,A. Skovgaard,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,17,,,,,pass,"['back_pass', 'linkup_play', 'short_or_medium_pass']",39.0,32.0,27.0,17.0,,,,[],16.0,2.0,14.0,54.0,42.0,19.0,AGF U19,
2263459870,A. Skovgaard,813151,AGF U19,5605871,S. Schøt,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,18,,,,,pass,['short_or_medium_pass'],27.0,17.0,24.0,34.0,,,,[],16.0,3.0,14.0,54.0,42.0,19.0,AGF U19,
2263459871,S. Schøt,1098962,AGF U19,5605871,C. Storch,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,22,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",24.0,34.0,9.0,72.0,,,,[],16.0,4.0,14.0,54.0,42.0,19.0,AGF U19,
2263459872,C. Storch,769069,AGF U19,5605871,L. Falk Hansen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,26,,,,,pass,"['forward_pass', 'short_or_medium_pass']",9.0,72.0,27.0,74.0,,,,[],16.0,5.0,14.0,54.0,42.0,19.0,AGF U19,
2263459873,L. Falk Hansen,694169,AGF U19,5605871,O. Haugstrup,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,30,,,,,pass,"['back_pass', 'short_or_medium_pass']",27.0,74.0,11.0,65.0,,,,[],16.0,6.0,14.0,54.0,42.0,19.0,AGF U19,
2263459874,O. Haugstrup,765207,AGF U19,5605871,V. De Paoli,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,33,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",11.0,65.0,3.0,50.0,,,,[],16.0,7.0,14.0,54.0,42.0,19.0,AGF U19,
2263459875,V. De Paoli,752651,AGF U19,5605871,S. Schøt,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,34,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",3.0,50.0,15.0,28.0,,,,[],16.0,8.0,14.0,54.0,42.0,19.0,AGF U19,
2263459876,S. Schøt,1098962,AGF U19,5605871,A. Skovgaard,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,39,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",15.0,28.0,19.0,7.0,,,,[],16.0,9.0,14.0,54.0,42.0,19.0,AGF U19,
2263459877,A. Skovgaard,813151,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,42,,,,,duel,"['ground_duel', 'offensive_duel', 'carry']",19.0,7.0,,,10.0,9.0,,[],16.0,10.0,14.0,54.0,42.0,19.0,AGF U19,
2263460342,E. Larsen,766591,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,42,,,,,duel,"['defensive_duel', 'ground_duel']",81.0,93.0,,,,,,[],16.0,11.0,14.0,54.0,42.0,19.0,AGF U19,
