player.name,team.name,label,pass.recipient.name,date,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,penalty_area_entry
G. Links,AGF,"AGF - Midtjylland, 1 - 1",J. Andersson,"July 19, 2024 at 6:00:00 PM GMT+2",89.0,6.0,97.0,38.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",91.0,5.0,100.0,38.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",J. Hansen,"July 19, 2024 at 6:00:00 PM GMT+2",44.0,96.0,91.0,52.0,,,True
Paulinho,Midtjylland,"AGF - Midtjylland, 1 - 1",F. Tingager,"July 19, 2024 at 6:00:00 PM GMT+2",78.0,9.0,89.0,28.0,75.0,25.0,True
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1",Franculino Djú,"July 19, 2024 at 6:00:00 PM GMT+2",82.0,34.0,97.0,30.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",M. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,97.0,48.0,,,True
O. Sørensen,Midtjylland,"AGF - Midtjylland, 1 - 1",Franculino Djú,"July 19, 2024 at 6:00:00 PM GMT+2",77.0,69.0,98.0,39.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Buksa,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,96.0,56.0,,,True
T. Bech,AGF,"AGF - Midtjylland, 1 - 1",O. Diao,"July 19, 2024 at 6:00:00 PM GMT+2",77.0,83.0,88.0,45.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",F. Beijmo,"July 19, 2024 at 6:00:00 PM GMT+2",96.0,17.0,95.0,59.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",54.0,11.0,,,91.0,25.0,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",H. Dalsgaard,"July 19, 2024 at 6:00:00 PM GMT+2",94.0,7.0,97.0,41.0,,,True
T. Bech,AGF,"AGF - Midtjylland, 1 - 1",E. Ólafsson,"July 19, 2024 at 6:00:00 PM GMT+2",79.0,36.0,96.0,43.0,,,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",83.0,4.0,,,89.0,19.0,True
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1",E. Ólafsson,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,95.0,48.0,,,True
T. Bech,AGF,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",80.0,42.0,84.0,38.0,,,True
J. Hansen,AGF,"AGF - Midtjylland, 1 - 1",E. Ólafsson,"July 19, 2024 at 6:00:00 PM GMT+2",16.0,67.0,89.0,69.0,,,True
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1",P. Mortensen,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,94.0,40.0,,,True
O. Brynhildsen,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,57.0,90.0,61.0,,,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",F. Beijmo,"July 19, 2024 at 6:00:00 PM GMT+2",75.0,69.0,97.0,71.0,,,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",O. Brynhildsen,"July 19, 2024 at 6:00:00 PM GMT+2",72.0,15.0,90.0,48.0,,,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,19.0,100.0,41.0,,,True
H. Dalsgaard,AGF,"AGF - Midtjylland, 1 - 1",F. Tingager,"July 19, 2024 at 6:00:00 PM GMT+2",82.0,100.0,87.0,65.0,,,True
D. Castillo,Midtjylland,"AGF - Midtjylland, 1 - 1",F. Tingager,"July 19, 2024 at 6:00:00 PM GMT+2",82.0,59.0,87.0,51.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",P. Mortensen,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,98.0,44.0,,,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",60.0,84.0,,,93.0,80.0,True
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1",E. Ólafsson,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,96.0,50.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",P. Mortensen,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,100.0,91.0,54.0,,,True
M. Emil Madsen,AGF,"AGF - Midtjylland, 1 - 1",T. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",54.0,29.0,87.0,26.0,,,True
M. Emil Madsen,AGF,"AGF - Midtjylland, 1 - 1",T. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",80.0,28.0,92.0,44.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",J. Hansen,"July 19, 2024 at 6:00:00 PM GMT+2",3.0,73.0,89.0,68.0,,,True
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1",M. Anderson,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,88.0,95.0,74.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",T. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,100.0,96.0,54.0,,,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Buksa,"July 19, 2024 at 6:00:00 PM GMT+2",79.0,27.0,88.0,48.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",M. Emil Madsen,"July 19, 2024 at 6:00:00 PM GMT+2",66.0,9.0,91.0,25.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",F. Tingager,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,100.0,93.0,53.0,,,True
M. Emil Madsen,AGF,"AGF - Midtjylland, 1 - 1",M. Anderson,"July 19, 2024 at 6:00:00 PM GMT+2",91.0,16.0,88.0,42.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",63.0,8.0,,,96.0,23.0,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",77.0,6.0,,,99.0,24.0,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",J. Andersson,"July 19, 2024 at 6:00:00 PM GMT+2",88.0,89.0,87.0,44.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",T. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",95.0,6.0,90.0,41.0,,,True
M. Bech,Midtjylland,"AGF - Midtjylland, 1 - 1",O. Diao,"July 19, 2024 at 6:00:00 PM GMT+2",84.0,100.0,89.0,52.0,,,True
M. Bech,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Buksa,"July 19, 2024 at 6:00:00 PM GMT+2",79.0,74.0,89.0,43.0,,,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",Paulinho,"July 19, 2024 at 6:00:00 PM GMT+2",84.0,11.0,90.0,23.0,,,True
A. Şimşir,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Buksa,"July 19, 2024 at 6:00:00 PM GMT+2",87.0,18.0,94.0,53.0,,,True
